stt,school_name,school_id,location,school_type,ownership,website_url
52,Trường Cao đẳng Sơn La,C14,Sơn La,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,
53,TRƯỜNG CAO ĐẲNG SƯ PHẠM BÀ RỊA-VŨNG TÀU,C52,Bà Rịa - Vũng Tàu,Trường cao đẳng sư phạm,Công lập,
54,TRƯỜNG CAO ĐẲNG SƯ PHẠM BẮC NINH,C19,Bắc Ninh,Trường cao đẳng sư phạm,Công lập,
55,TRƯỜNG CAO ĐẲNG SƯ PHẠM CAO BẰNG,C06,Cao Bằng,Trường cao đẳng sư phạm,Công lập,
56,TRƯỜNG CAO ĐẲNG SƯ PHẠM ĐẮK LẮK,C40,Đắk Lắk,Trường cao đẳng sư phạm,Công lập,
57,TRƯỜNG CAO ĐẲNG SƯ PHẠM ĐIỆN BIÊN,C62,Điện Biên,Trường cao đẳng sư phạm,Công lập,
58,TRƯỜNG CAO ĐẲNG SƯ PHẠM GIA LAI,C38,Gia Lai,Trường cao đẳng sư phạm,Công lập,
59,TRƯỜNG CAO ĐẲNG SƯ PHẠM HÀ GIANG,C05,Hà Giang,Trường cao đẳng sư phạm,Công lập,
60,TRƯỜNG CAO ĐẲNG SƯ PHẠM HÀ TÂY,C20,Hà Nội,Trường cao đẳng sư phạm,Công lập,
61,TRƯỜNG CAO ĐẲNG SƯ PHẠM HOÀ BÌNH,C23,Hoà Bình,Trường cao đẳng sư phạm,Công lập,
62,TRƯỜNG CAO ĐẲNG SƯ PHẠM KIÊN GIANG,C54,Kiên Giang,Trường cao đẳng sư phạm,Công lập,
63,TRƯỜNG CAO ĐẲNG SƯ PHẠM LẠNG SƠN,C10,Lạng Sơn,Trường cao đẳng sư phạm,Công lập,
64,TRƯỜNG CAO ĐẲNG SƯ PHẠM LONG AN,C49,Long An,Trường cao đẳng sư phạm,Công lập,
65,TRƯỜNG CAO ĐẲNG SƯ PHẠM NAM ĐỊNH,C25,Nam Định,Trường cao đẳng sư phạm,Công lập,
66,TRƯỜNG CAO ĐẲNG SƯ PHẠM NGHỆ AN,C29,Nghệ An,Trường cao đẳng sư phạm,Công lập,
67,TRƯỜNG CAO ĐẲNG SƯ PHẠM QUẢNG TRỊ,C32,Quảng Trị,Trường cao đẳng sư phạm,Công lập,
68,TRƯỜNG CAO ĐẲNG SƯ PHẠM TÂY NINH,C46,Tây Ninh,Trường cao đẳng sư phạm,Công lập,
69,TRƯỜNG CAO ĐẲNG SƯ PHẠM THÁI BÌNH,C26,Thái Bình,Trường cao đẳng sư phạm,Công lập,
