TT,Mã ngành,Tên ngành
173,7440201,Địa chất học
174,7440217,Địa lý tự nhiên
175,74403,Khoa học môi trường
176,7440301,Khoa học môi trường
177,74601,Toán học
178,7460101,Toán học
179,7460108,Khoa học dữ liệu
180,7460112,Toán ứng dụng
181,74602,Nhóm Thống kê
182,7460201,Thống kê
183,74801,Máy tính
184,7480101,Khoa học máy tính
185,7480102,Mạng máy tính và Truyền thông dữ liệu
186,7480103,Kỹ thuật phần mềm
187,7480104,Hệ thống thông tin
188,7480106,Kỹ thuật máy tính
189,7480107,Trí tuệ nhân tạo
190,7480108,Công nghệ Kỹ thuật máy tính
191,74802,Công nghệ thông tin
192,7480201,Công nghệ thông tin
193,7480202,An toàn thông tin
194,7480203,Công nghệ đa phương tiện
195,7480204,Khoa học và Kỹ thuật máy tính
196,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng
197,7510102,Công nghệ Kỹ thuật Công trình xây dựng
198,7510103,Công nghệ Kỹ thuật Xây dựng
199,75102,Công nghệ Kỹ thuật cơ khí
200,7510201,Công nghệ Kỹ thuật Cơ khí
201,7510203,Công nghệ Kỹ thuật Cơ điện tử
202,7510205,Công nghệ Kỹ thuật Ô tô
203,75103,"Công nghệ Kỹ thuật điện, điện tử và viễn thông"
204,7510301,"Công nghệ Kỹ thuật điện, điện tử"
205,7510302,Công nghệ Kỹ thuật điện tử - viễn thông
206,7510303,Công nghệ Kỹ thuật điều khiển và tự động hóa
207,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường"
208,7510401,Công nghệ Kỹ thuật Hóa học
209,7510402,Công nghệ Vật liệu
210,7510406,Công nghệ Kỹ thuật Môi trường
211,75106,Quản lý công nghiệp
212,7510601,Quản lý Công nghiệp
213,7510605,Logistics và Quản lý chuỗi cung ứng
214,75201,Nhóm Kỹ thuật cơ khí và cơ kỹ thuật
215,7520103,Kỹ thuật Cơ khí
216,7520114,Kỹ thuật Cơ điện tử
217,7520116,Kỹ thuật Cơ khí động lực
218,7520130,Kỹ thuật ô tô
219,75202,"Kỹ thuật điện, điện tử và viễn thông"
220,7520201,Kỹ thuật điện
221,7520207,Kỹ thuật điện tử - viễn thông
222,7520216,Kỹ thuật điều khiển và tự động hóa
223,75203,"Kỹ thuật hóa học, vật liệu, luyện kim và môi trường"
224,7520301,Kỹ thuật Hóa học
225,7520309,Kỹ thuật Vật liệu
226,7520320,Kỹ thuật Môi trường
227,75801,Kiến trúc và quy hoạch
228,7580101,Kiến trúc
229,7580102,Kiến trúc cảnh quan
230,7580103,Kiến trúc nội thất
231,7580108,Thiết kế nội thất
232,75802,Xây dựng
233,7580201,Kỹ thuật xây dựng
234,75803,Quản lý xây dựng
235,7580301,Kinh tế Xây dựng
236,7580302,Quản lý Xây dựng
237,78101,Du lịch
238,7810101,Du lịch
239,7810103,Quản trị Dịch vụ du lịch và Lữ hành
240,78102,"Khách sạn, nhà hàng"
241,7810201,Quản trị Khách sạn
242,7810202,Quản trị Nhà hàng và Dịch vụ ăn uống
243,7810203,Quản trị Khách sạn - Nhà hàng
244,78501,Quản lý tài nguyên và môi trường
245,7850101,Quản lý tài nguyên và môi trường
246,7850103,Quản lý đất đai
